"tab20b","polychrome","alphabet","alphabet2","ldw29","txg","curio","biorad","primary","colblind_8","cubs","lions","capitals","cornell","futurama_ggsci","rickandmorty_ggsci","simpsons_ggsci","spectral","magma","inferno","plasma","viridis","batlow","cividis","rocket","mako","turbo","RdYlBu","blue_ramp","red_ramp","green_ramp","purple_ramp","orange_ramp","flare","crest","rainbow_adata",,,"gdocs","aurora","subcharizard","subcarvanha"
,"#782AB6","#FF5005","#FA0087","#D15115",,,,,,,,,,,,,,"#E14D66FF","#DF5437FF","#E26760FF","#25AA83FF","#B88E34","#979278FF","#E9433EFF","#3499AAFF","#E6D838FF",,,,,,,,,,,,,,,
,"#AAF400",,,"#871E8F",,,,,,,,,,,,,,"#E95462FF","#E65D2FFF","#E76F5AFF","#2AB07FFF","#C4913B","#9E9677FF","#ED4F3EFF","#35A1ABFF","#F0CC3AFF",,,,,,,,,,,,,,,
,"#BDCDFF",,,"#83CCBD",,,,,,,,,,,,,,"#EF5D5EFF","#EB6628FF","#EB7655FF","#32B67AFF","#D09244","#A49B76FF","#F05C42FF","#37A8ACFF","#F8BE39FF",,,,,,,,,,,,,,,
,"#822E1C",,,"#793EA8",,,,,,,,,,,,,,"#F4675CFF","#F06F20FF","#EF7E50FF","#3BBB75FF","#DC964F","#ABA074FF","#F26747FF","#3AAEADFF","#FCB136FF",,,,,,,,,,,,,,,
,"#B5EFB5",,,,,,,,,,,,,,,,,"#F7735CFF","#F47A18FF","#F3864BFF","#47C06FFF","#E6985A","#B1A573FF","#F3734FFF","#3FB5ADFF","#FEA030FF",,,,,,,,,,,,,,,
,"#7ED7D1",,,,,,,,,,,,,,,,,"#FA7E5EFF","#F8850FFF","#F68E44FF","#53C568FF","#EE9B68","#B8AB70FF","#F47E58FF","#45BDADFF","#FD8E28FF",,,,,,,,,,,,,,,
,"#1C7F93",,,,,,,,,,,,,,,,,"#FC8A62FF","#FA9008FF","#F9973FFF","#60CA60FF","#F49F75","#BFB06EFF","#F58A61FF","#4CC3ADFF","#FA7C1FFF",,,,,,,,,,,,,,,
,"#D85FF7",,,,,,,,,,,,,,,,,"#FD9668FF","#FB9B06FF","#FB9F3AFF","#6ECE58FF","#F9A483","#C5B56CFF","#F5946BFF","#55CAADFF","#F56918FF",,,,,,,,,,,,,,,
,"#683B79",,,,,,,,,,,,,,,,,"#FEA16EFF","#FCA60CFF","#FCA835FF","#7DD250FF","#FBA88F","#CCBB69FF","#F69F76FF","#63CFACFF","#EF5711FF",,,,,,,,,,,,,,,
,"#66B0FF",,,,,,,,,,,,,,,,,"#FEAD77FF","#FCB317FF","#FDB12FFF","#8CD645FF","#FCAB9C","#D2C066FF","#F6A880FF","#74D4ADFF","#E6480CFF",,,,,,,,,,,,,,,
,"#3B00FB",,,,,,,,,,,,,,,,,"#FEB87FFF","#FABF25FF","#FEBB2BFF","#9CD93BFF","#FDB0AA","#DAC661FF","#F6B28CFF","#87D9B1FF","#DC3C07FF",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"#FEC488FF","#F9CB35FF","#FDC527FF","#ADDC30FF","#FDB4B6","#E1CC5DFF","#F6BC99FF","#99DDB6FF","#D02F05FF",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"#FECF92FF","#F6D746FF","#FCCE25FF","#BDDF26FF","#FDB9C4","#E8D259FF","#F7C6A6FF","#A9E1BDFF","#C32503FF",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"#FDDB9DFF","#F3E45BFF","#FAD924FF","#CEE11DFF","#FDBED0","#EFD753FF","#F7CFB4FF","#B8E6C6FF","#B31B01FF",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"#FDE6A8FF","#F1EE73FF","#F7E325FF","#DEE318FF","#FBC2DE","#F7DE4CFF","#F8D8C2FF","#C5EBD0FF","#A21301FF",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"#FCF2B4FF","#F4F88DFF","#F3EE27FF","#EEE51CFF","#FBC6EC","#FEE445FF","#F9E2CFFF","#D2F0DBFF","#8F0A01FF",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"#FCFDBFFF","#FCFFA4FF","#F0F921FF","#FDE725FF","#F9CCF9","#FFEA46FF","#FAEBDDFF","#DEF5E5FF","#7A0403FF",,,,,,,,,,,,,,,
