"sampleID","fastq_R1","fastq_R2","SRR_ID"
"SRR11863169","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863169_1.fastq.gz",,"SRR11863169"
"SRR11863170","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863170_1.fastq.gz",,"SRR11863170"
"SRR11863171","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863171_1.fastq.gz",,"SRR11863171"
"SRR11863172","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863172_1.fastq.gz",,"SRR11863172"
"SRR11863173","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863173_1.fastq.gz",,"SRR11863173"
"SRR11863174","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863174_1.fastq.gz",,"SRR11863174"
"SRR11863175","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863175_1.fastq.gz",,"SRR11863175"
"SRR11863176","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863176_1.fastq.gz",,"SRR11863176"
"SRR11863177","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863177_1.fastq.gz",,"SRR11863177"
"SRR11863178","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863178_1.fastq.gz",,"SRR11863178"
"SRR11863179","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863179_1.fastq.gz",,"SRR11863179"
"SRR11863180","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863180_1.fastq.gz",,"SRR11863180"
"SRR11863181","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863181_1.fastq.gz",,"SRR11863181"
"SRR11863182","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863182_1.fastq.gz",,"SRR11863182"
"SRR11863183","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863183_1.fastq.gz",,"SRR11863183"
"SRR11863184","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863184_1.fastq.gz",,"SRR11863184"
"SRR11863185","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863185_1.fastq.gz",,"SRR11863185"
"SRR11863186","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863186_1.fastq.gz",,"SRR11863186"
"SRR11863187","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863187_1.fastq.gz",,"SRR11863187"
"SRR11863188","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863188_1.fastq.gz",,"SRR11863188"
"SRR11863189","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863189_1.fastq.gz",,"SRR11863189"
"SRR11863190","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863190_1.fastq.gz",,"SRR11863190"
"SRR11863191","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863191_1.fastq.gz",,"SRR11863191"
"SRR11863192","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863192_1.fastq.gz",,"SRR11863192"
"SRR11863193","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863193_1.fastq.gz",,"SRR11863193"
"SRR11863194","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863194_1.fastq.gz",,"SRR11863194"
"SRR11863195","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863195_1.fastq.gz",,"SRR11863195"
"SRR11863196","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863196_1.fastq.gz",,"SRR11863196"
"SRR11863197","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863197_1.fastq.gz",,"SRR11863197"
"SRR11863198","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863198_1.fastq.gz",,"SRR11863198"
"SRR11863199","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863199_1.fastq.gz",,"SRR11863199"
"SRR11863200","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863200_1.fastq.gz",,"SRR11863200"
"SRR11863201","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863201_1.fastq.gz",,"SRR11863201"
"SRR11863202","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863202_1.fastq.gz",,"SRR11863202"
"SRR11863203","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863203_1.fastq.gz",,"SRR11863203"
"SRR11863204","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863204_1.fastq.gz",,"SRR11863204"
"SRR11863205","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863205_1.fastq.gz",,"SRR11863205"
"SRR11863206","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863206_1.fastq.gz",,"SRR11863206"
"SRR11863207","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863207_1.fastq.gz",,"SRR11863207"
"SRR11863208","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863208_1.fastq.gz",,"SRR11863208"
"SRR11863209","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863209_1.fastq.gz",,"SRR11863209"
"SRR11863210","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863210_1.fastq.gz",,"SRR11863210"
"SRR11863211","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863211_1.fastq.gz",,"SRR11863211"
"SRR11863212","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863212_1.fastq.gz",,"SRR11863212"
"SRR11863213","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863213_1.fastq.gz",,"SRR11863213"
"SRR11863214","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863214_1.fastq.gz",,"SRR11863214"
"SRR11863215","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863215_1.fastq.gz",,"SRR11863215"
"SRR11863216","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863216_1.fastq.gz",,"SRR11863216"
"SRR11863217","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863217_1.fastq.gz",,"SRR11863217"
"SRR11863218","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863218_1.fastq.gz",,"SRR11863218"
"SRR11863219","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863219_1.fastq.gz",,"SRR11863219"
"SRR11863220","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863220_1.fastq.gz",,"SRR11863220"
"SRR11863221","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863221_1.fastq.gz",,"SRR11863221"
